Cap_Model,Scenario,FY,Hour,Observations,Mean_Impact,Median_Impact,P75_Impact,P95_Impact
$1000/MWh,Accelerated Transition,FY2026,0,13116,2.8092778,2.0041924,3.7329903,9.59346
$1000/MWh,Accelerated Transition,FY2026,1,13128,2.7120416,2.1004562,3.624031,8.269443
$1000/MWh,Accelerated Transition,FY2026,2,13128,2.9445612,2.2168045,3.9344864,8.876772
$1000/MWh,Accelerated Transition,FY2026,3,13128,3.1898618,2.353613,4.170826,9.410159
$1000/MWh,Accelerated Transition,FY2026,4,13128,3.2121944,2.4466324,4.243244,9.337378
$1000/MWh,Accelerated Transition,FY2026,5,13128,3.220654,2.5524406,4.5337715,8.630071
$1000/MWh,Accelerated Transition,FY2026,6,13128,3.8912165,3.3042374,5.5882406,10.596983
$1000/MWh,Accelerated Transition,FY2026,7,13128,3.762777,3.0165443,5.5996933,12.509576
$1000/MWh,Accelerated Transition,FY2026,8,13128,3.1261158,2.981472,5.4467125,10.806569
$1000/MWh,Accelerated Transition,FY2026,9,13128,4.085582,3.4585876,6.062641,11.509327
$1000/MWh,Accelerated Transition,FY2026,10,13128,4.7920766,4.06925,6.807061,12.304691
$1000/MWh,Accelerated Transition,FY2026,11,13128,4.938267,4.2125454,6.871095,12.574704
$1000/MWh,Accelerated Transition,FY2026,12,13128,4.805264,4.0528927,6.850519,12.503589
$1000/MWh,Accelerated Transition,FY2026,13,13128,4.627244,3.9753876,6.7787495,12.587703
$1000/MWh,Accelerated Transition,FY2026,14,13128,4.411716,3.7258606,6.527706,12.429226
$1000/MWh,Accelerated Transition,FY2026,15,13128,3.9276528,3.2594032,6.019329,11.5617895
$1000/MWh,Accelerated Transition,FY2026,16,13128,3.7346778,2.9371185,5.86796,13.099623
$1000/MWh,Accelerated Transition,FY2026,17,13128,4.097028,2.887333,6.4602985,16.654697
$1000/MWh,Accelerated Transition,FY2026,18,13128,3.983024,2.3199692,6.210354,19.160604
$1000/MWh,Accelerated Transition,FY2026,19,13128,3.1083608,1.7042656,4.1232605,15.313085
$1000/MWh,Accelerated Transition,FY2026,20,13128,2.92986,1.8473015,3.7523766,10.558744
$1000/MWh,Accelerated Transition,FY2026,21,13128,2.6979327,1.8404617,3.4606247,9.417448
$1000/MWh,Accelerated Transition,FY2026,22,13128,2.7228281,1.750721,3.3768463,9.186725
$1000/MWh,Accelerated Transition,FY2026,23,13128,2.3853447,1.7044449,3.1435947,7.7068014
$1000/MWh,Accelerated Transition,FY2027,0,13116,7.04121,5.133854,8.779259,21.376118
$1000/MWh,Accelerated Transition,FY2027,1,13128,6.638163,5.301136,8.33009,17.36439
$1000/MWh,Accelerated Transition,FY2027,2,13128,6.956649,5.560564,9.081127,17.575306
$1000/MWh,Accelerated Transition,FY2027,3,13128,7.46522,5.859562,9.594753,18.673136
$1000/MWh,Accelerated Transition,FY2027,4,13128,7.417977,6.0391464,9.348007,18.752262
$1000/MWh,Accelerated Transition,FY2027,5,13128,7.6534467,6.6591873,9.852448,17.594059
$1000/MWh,Accelerated Transition,FY2027,6,13128,9.130433,8.392838,12.12069,20.639011
$1000/MWh,Accelerated Transition,FY2027,7,13128,8.941545,7.6550465,12.038324,25.727306
$1000/MWh,Accelerated Transition,FY2027,8,13128,7.38489,7.5588417,11.664049,21.128479
$1000/MWh,Accelerated Transition,FY2027,9,13128,9.726735,8.675076,13.511222,22.686813
$1000/MWh,Accelerated Transition,FY2027,10,13128,11.44442,10.051624,14.96516,25.431217
$1000/MWh,Accelerated Transition,FY2027,11,13128,11.711259,10.359165,15.4853,24.994022
$1000/MWh,Accelerated Transition,FY2027,12,13128,11.633141,10.56459,15.709355,25.370214
$1000/MWh,Accelerated Transition,FY2027,13,13128,11.112983,10.119663,15.588444,26.0437
$1000/MWh,Accelerated Transition,FY2027,14,13128,10.545498,9.363558,14.756201,25.421877
$1000/MWh,Accelerated Transition,FY2027,15,13128,9.58823,8.359676,13.479393,23.93199
$1000/MWh,Accelerated Transition,FY2027,16,13128,8.844915,7.744629,12.99268,25.5553
$1000/MWh,Accelerated Transition,FY2027,17,13128,9.802288,7.8665733,14.194328,33.555626
$1000/MWh,Accelerated Transition,FY2027,18,13128,9.2440405,6.573963,13.689507,39.334602
$1000/MWh,Accelerated Transition,FY2027,19,13128,7.5019884,4.931759,9.495863,29.814806
$1000/MWh,Accelerated Transition,FY2027,20,13128,7.1894054,4.9563446,8.290974,23.28225
$1000/MWh,Accelerated Transition,FY2027,21,13128,6.7151,4.884083,7.5455437,21.84207
$1000/MWh,Accelerated Transition,FY2027,22,13128,6.907909,4.661995,7.654381,23.138256
$1000/MWh,Accelerated Transition,FY2027,23,13128,5.907472,4.4147224,6.9521065,19.127655
$1000/MWh,Accelerated Transition,FY2028,0,13116,13.312986,9.505344,16.517628,38.33113
$1000/MWh,Accelerated Transition,FY2028,1,13128,12.58317,9.8617325,15.729098,31.582588
$1000/MWh,Accelerated Transition,FY2028,2,13128,12.395289,10.188877,15.76738,29.601553
$1000/MWh,Accelerated Transition,FY2028,3,13128,13.312941,10.811344,16.942032,32.062874
$1000/MWh,Accelerated Transition,FY2028,4,13128,13.223855,10.998684,16.57225,31.78841
$1000/MWh,Accelerated Transition,FY2028,5,13128,14.122429,12.45528,17.72831,29.814287
$1000/MWh,Accelerated Transition,FY2028,6,13128,16.480366,15.759781,21.547102,35.76789
$1000/MWh,Accelerated Transition,FY2028,7,13128,15.40349,13.965912,21.00917,42.967903
$1000/MWh,Accelerated Transition,FY2028,8,13128,12.876894,13.496257,20.06353,34.961967
$1000/MWh,Accelerated Transition,FY2028,9,13128,17.279104,15.767078,23.609135,39.82387
$1000/MWh,Accelerated Transition,FY2028,10,13128,20.781315,18.66157,26.782703,43.19102
$1000/MWh,Accelerated Transition,FY2028,11,13128,21.365429,19.542631,27.342796,43.077194
$1000/MWh,Accelerated Transition,FY2028,12,13128,21.110842,19.677893,27.586346,44.738777
$1000/MWh,Accelerated Transition,FY2028,13,13128,20.43598,19.142962,27.835941,45.271454
$1000/MWh,Accelerated Transition,FY2028,14,13128,19.250837,17.450893,26.668163,44.012535
$1000/MWh,Accelerated Transition,FY2028,15,13128,17.67296,15.33984,24.546268,42.000427
$1000/MWh,Accelerated Transition,FY2028,16,13128,16.598204,14.243656,23.390114,44.77847
$1000/MWh,Accelerated Transition,FY2028,17,13128,18.035831,15.14801,25.343952,55.401417
$1000/MWh,Accelerated Transition,FY2028,18,13128,16.70028,12.732864,23.8017,60.79297
$1000/MWh,Accelerated Transition,FY2028,19,13128,14.199942,9.65411,17.63708,53.627304
$1000/MWh,Accelerated Transition,FY2028,20,13128,13.371469,9.100533,15.989515,42.77062
$1000/MWh,Accelerated Transition,FY2028,21,13128,12.985513,9.163357,14.347515,40.564983
$1000/MWh,Accelerated Transition,FY2028,22,13128,13.488693,8.815411,15.199524,46.21295
$1000/MWh,Accelerated Transition,FY2028,23,13128,11.602169,8.28981,13.242048,36.02567
$1000/MWh,Accelerated Transition,FY2029,0,13116,22.14213,15.838196,31.322388,59.33931
$1000/MWh,Accelerated Transition,FY2029,1,13128,21.135813,16.146358,27.008965,52.019302
$1000/MWh,Accelerated Transition,FY2029,2,13128,19.76926,16.118748,25.54245,46.605877
$1000/MWh,Accelerated Transition,FY2029,3,13128,20.562986,16.995716,25.667637,46.477036
$1000/MWh,Accelerated Transition,FY2029,4,13128,20.746918,17.466942,25.060917,46.76401
$1000/MWh,Accelerated Transition,FY2029,5,13128,22.677086,20.008726,28.32669,46.284367
$1000/MWh,Accelerated Transition,FY2029,6,13128,25.887518,24.960917,34.140263,54.979473
$1000/MWh,Accelerated Transition,FY2029,7,13128,22.594927,21.85344,32.54197,59.621426
$1000/MWh,Accelerated Transition,FY2029,8,13128,19.042421,21.139378,30.994179,51.904804
$1000/MWh,Accelerated Transition,FY2029,9,13128,26.411373,24.627926,36.313072,59.791428
$1000/MWh,Accelerated Transition,FY2029,10,13128,32.66061,29.94757,41.5777,67.07904
$1000/MWh,Accelerated Transition,FY2029,11,13128,33.629314,31.593588,43.07568,65.67913
$1000/MWh,Accelerated Transition,FY2029,12,13128,33.097233,31.834873,43.177544,69.38378
$1000/MWh,Accelerated Transition,FY2029,13,13128,31.966803,30.720411,43.578484,68.68242
$1000/MWh,Accelerated Transition,FY2029,14,13128,30.595224,28.44403,42.239883,66.71357
$1000/MWh,Accelerated Transition,FY2029,15,13128,28.141645,24.49692,38.859673,66.50025
$1000/MWh,Accelerated Transition,FY2029,16,13128,26.78682,23.593643,38.23321,67.55154
$1000/MWh,Accelerated Transition,FY2029,17,13128,28.402102,25.398067,41.218727,78.980484
$1000/MWh,Accelerated Transition,FY2029,18,13128,26.828478,21.1577,36.52848,94.79044
$1000/MWh,Accelerated Transition,FY2029,19,13128,23.358875,16.584953,28.816608,80.59944
$1000/MWh,Accelerated Transition,FY2029,20,13128,22.147053,15.101982,26.089708,76.6032
$1000/MWh,Accelerated Transition,FY2029,21,13128,22.017647,14.691538,24.945797,69.66184
$1000/MWh,Accelerated Transition,FY2029,22,13128,23.00026,14.723228,27.393291,74.223976
$1000/MWh,Accelerated Transition,FY2029,23,13128,20.322893,13.85405,23.441833,63.10359
$1000/MWh,Accelerated Transition,FY2030,0,13116,37.34575,27.338936,55.821968,89.94489
$1000/MWh,Accelerated Transition,FY2030,1,13128,34.894516,26.818327,48.444893,80.34568
$1000/MWh,Accelerated Transition,FY2030,2,13128,31.745546,25.219032,41.152367,70.8911
$1000/MWh,Accelerated Transition,FY2030,3,13128,31.750666,26.779348,38.22528,67.38011
$1000/MWh,Accelerated Transition,FY2030,4,13128,32.29513,27.83237,37.43525,67.45277
$1000/MWh,Accelerated Transition,FY2030,5,13128,35.63388,31.190441,45.559105,70.28137
$1000/MWh,Accelerated Transition,FY2030,6,13128,38.381493,37.867973,53.260742,84.13666
$1000/MWh,Accelerated Transition,FY2030,7,13128,31.490822,31.78356,48.772884,86.50443
$1000/MWh,Accelerated Transition,FY2030,8,13128,25.989567,30.62207,46.46262,74.20224
$1000/MWh,Accelerated Transition,FY2030,9,13128,38.006386,36.91146,53.546555,88.66635
$1000/MWh,Accelerated Transition,FY2030,10,13128,48.755836,45.278748,62.66905,100.47525
$1000/MWh,Accelerated Transition,FY2030,11,13128,51.15671,48.817345,66.456604,100.459045
$1000/MWh,Accelerated Transition,FY2030,12,13128,50.128826,48.35373,66.82532,102.45399
$1000/MWh,Accelerated Transition,FY2030,13,13128,48.47752,47.033447,66.91185,103.175644
$1000/MWh,Accelerated Transition,FY2030,14,13128,47.08964,43.877365,64.72381,103.133194
$1000/MWh,Accelerated Transition,FY2030,15,13128,42.943054,38.452286,59.714188,98.48313
$1000/MWh,Accelerated Transition,FY2030,16,13128,41.40742,38.577057,60.632133,98.8405
$1000/MWh,Accelerated Transition,FY2030,17,13128,45.419395,43.117226,65.22421,111.2039
$1000/MWh,Accelerated Transition,FY2030,18,13128,41.35772,33.987457,55.96864,126.983246
$1000/MWh,Accelerated Transition,FY2030,19,13128,37.13833,27.770874,46.260944,120.70487
$1000/MWh,Accelerated Transition,FY2030,20,13128,36.268616,25.40646,43.526947,113.22465
$1000/MWh,Accelerated Transition,FY2030,21,13128,36.442677,24.687496,43.09501,116.26598
$1000/MWh,Accelerated Transition,FY2030,22,13128,38.19999,25.65667,51.731743,109.25329
$1000/MWh,Accelerated Transition,FY2030,23,13128,34.43695,23.107113,45.5372,100.52956
$1000/MWh,Slower Growth,FY2026,0,13116,1.097351,0.6233597,1.6474934,4.4721546
$1000/MWh,Slower Growth,FY2026,1,13128,1.0809865,0.66500473,1.6222801,4.019392
$1000/MWh,Slower Growth,FY2026,2,13128,1.1766009,0.73171234,1.7509632,4.457035
$1000/MWh,Slower Growth,FY2026,3,13128,1.2893751,0.7733536,1.8567657,4.597351
$1000/MWh,Slower Growth,FY2026,4,13128,1.3038434,0.80314636,1.8686771,4.7611375
$1000/MWh,Slower Growth,FY2026,5,13128,1.3194879,0.8094864,1.9894981,4.5916934
$1000/MWh,Slower Growth,FY2026,6,13128,1.5397952,0.997879,2.4355674,5.5408955
$1000/MWh,Slower Growth,FY2026,7,13128,1.5239259,0.9215946,2.4504318,6.492272
$1000/MWh,Slower Growth,FY2026,8,13128,1.258255,0.90436935,2.431275,6.0352836
$1000/MWh,Slower Growth,FY2026,9,13128,1.6381012,1.0894833,2.6663094,6.259314
$1000/MWh,Slower Growth,FY2026,10,13128,1.9188089,1.2887745,2.951422,6.613128
$1000/MWh,Slower Growth,FY2026,11,13128,1.9829139,1.3641014,3.0866394,6.648428
$1000/MWh,Slower Growth,FY2026,12,13128,1.9320327,1.253418,3.021449,6.7291517
$1000/MWh,Slower Growth,FY2026,13,13128,1.8559917,1.2474129,2.9066105,6.585037
$1000/MWh,Slower Growth,FY2026,14,13128,1.7875017,1.2118912,2.8682194,6.5685253
$1000/MWh,Slower Growth,FY2026,15,13128,1.5941019,1.0738564,2.685852,6.133714
$1000/MWh,Slower Growth,FY2026,16,13128,1.5055801,0.8565066,2.4886637,6.752035
$1000/MWh,Slower Growth,FY2026,17,13128,1.677696,0.65076065,2.6068153,8.355585
$1000/MWh,Slower Growth,FY2026,18,13128,1.7602389,0.43624878,2.5051308,9.353622
$1000/MWh,Slower Growth,FY2026,19,13128,1.2435423,0.32040405,1.6442986,6.1540504
$1000/MWh,Slower Growth,FY2026,20,13128,1.1621252,0.4539528,1.5880966,4.99559
$1000/MWh,Slower Growth,FY2026,21,13128,1.0353756,0.5292721,1.5590267,4.2119813
$1000/MWh,Slower Growth,FY2026,22,13128,1.0704703,0.51995087,1.4770889,4.203784
$1000/MWh,Slower Growth,FY2026,23,13128,0.9444846,0.5279846,1.3924503,3.772548
$1000/MWh,Slower Growth,FY2027,0,13116,2.240041,1.5432377,3.0481339,7.865837
$1000/MWh,Slower Growth,FY2027,1,13128,2.1679854,1.6159172,2.9684677,6.909671
$1000/MWh,Slower Growth,FY2027,2,13128,2.3694854,1.7549019,3.2137814,7.415718
$1000/MWh,Slower Growth,FY2027,3,13128,2.5582147,1.8764992,3.3888397,7.90686
